iso3,variable,abs_shap,sign,iso2,policy,shap_value,shap_value_normalized
TTO,Close public transport,0.001336061606077,1,TT,close_public_transport,0.001336061606077,0.4343005532929274
MYS,Restrictions on internal movement,0.0013357821312295,1,MY,restrictions_on_internal_movement,0.0013357821312295,0.43430882806284604
CAN,Stay at home requirements,0.0013257844902386,1,CA,stay_at_home_requirements,0.0013257844902386,0.43460484103026964
ITA,International travel controls,0.0012965071769722,1,IT,international_travel_controls,0.0012965071769722,0.43547169195901037
THA,Stay at home requirements,0.0012856444703199,1,TH,stay_at_home_requirements,0.0012856444703199,0.43579331803393406
FIN,International travel controls,0.0012801085471937,1,FI,international_travel_controls,0.0012801085471937,0.43595722720345786
CIV,Stay at home requirements,0.0012131014556568,1,CI,stay_at_home_requirements,0.0012131014556568,0.4379411920229906
CIV,Stay at home requirements,0.0012131014556568,1,CI,stay_at_home_requirements,0.0012131014556568,0.4379411920229906
MDA,Cancel public events,0.0012019318037732,1,MD,cancel_public_events,0.0012019318037732,0.43827190621868556
EST,International travel controls,0.0011780399511506,1,EE,international_travel_controls,0.0011780399511506,0.43897930291341597
ISL,Cancel public events,0.0011278501353068,1,IS,cancel_public_events,0.0011278501353068,0.44046533710247027
MCO,Workplace closing,0.0011210190577969,1,MC,workplace_closing,0.0011210190577969,0.440667593567395
FRA,Cancel public events,0.0011004572742057,1,FR,cancel_public_events,0.0011004572742057,0.4412763926412859
MCO,International travel controls,0.0010986914043988,1,MC,international_travel_controls,0.0010986914043988,0.4413286770113788
HND,Restrictions on internal movement,0.001081777815245,1,HN,restrictions_on_internal_movement,0.001081777815245,0.4418294593179007
MEX,International travel controls,0.0010749437152673,1,MX,international_travel_controls,0.0010749437152673,0.4420318052729024
PRT,International travel controls,0.001034319895026,1,PT,international_travel_controls,0.001034319895026,0.4432346067726418
SGP,International travel controls,0.0010083025100735,1,SG,international_travel_controls,0.0010083025100735,0.44400493682664177
BGD,International travel controls,0.0009858036777889,1,BD,international_travel_controls,0.0009858036777889,0.44467108858326043
ROU,International travel controls,0.0009563029620813,1,RO,international_travel_controls,0.0009563029620813,0.4455445540743374
THA,Public information campaigns,0.0009412750601289,1,TH,public_information_campaigns,0.0009412750601289,0.4459895044236378
TGO,Public information campaigns,0.0009345779776518,1,TG,public_information_campaigns,0.0009345779776518,0.44618779352593013
BHR,Cancel public events,0.0009220262794527,1,BH,cancel_public_events,0.0009220262794527,0.44655942773779106
MMR,Close public transport,0.0009110694556225,1,MM,close_public_transport,0.0009110694556225,0.4468838404605991
MMR,Close public transport,0.0009110694556225,1,MM,close_public_transport,0.0009110694556225,0.4468838404605991
CYP,International travel controls,0.000910467755219,1,CY,international_travel_controls,0.000910467755219,0.4469016557754421
QAT,Stay at home requirements,0.0008206700394213,1,QA,stay_at_home_requirements,0.0008206700394213,0.4495604118105242
ESP,International travel controls,0.0007860233300797,1,ES,international_travel_controls,0.0007860233300797,0.45058624132900815
TTO,Public information campaigns,0.0007511743068518,1,TT,public_information_campaigns,0.0007511743068518,0.45161806101396135
BGR,International travel controls,0.000737158153954,1,BG,international_travel_controls,0.000737158153954,0.4520330552125845
MWI,Public information campaigns,0.0007303964410974,1,MW,public_information_campaigns,0.0007303964410974,0.45223325790933777
BLZ,Public information campaigns,0.0006716877807282,1,BZ,public_information_campaigns,0.0006716877807282,0.4539715204439867
AZE,Public information campaigns,0.0006202204371626,1,AZ,public_information_campaigns,0.0006202204371626,0.4554953800332769
ZWE,Public information campaigns,0.0006138625438189,1,ZW,public_information_campaigns,0.0006138625438189,0.45568362632827236
MNG,Cancel public events,0.0006115088796522,1,MN,cancel_public_events,0.0006115088796522,0.4557533142791537
AUT,International travel controls,0.000586663951343,1,AT,international_travel_controls,0.000586663951343,0.4564889299069731
SGP,Public information campaigns,0.0005606336460931,1,SG,public_information_campaigns,0.0005606336460931,0.4572596425087737
COL,Public information campaigns,0.0005356265713195,1,CO,public_information_campaigns,0.0005356265713195,0.45800005901473306
NOR,Public information campaigns,0.0005027060768781,1,NO,public_information_campaigns,0.0005027060768781,0.4589747782767591
